OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTArea,ShapeSTLength
1,21,041,GILCHRIST,2000/05/16 00:00:00+00,9908353355.45099,487300.011359113
2,54,107,PUTNAM,2000/05/16 00:00:00+00,23058687375.9514,762967.677232753
3,62,123,TAYLOR,2000/05/16 00:00:00+00,28917470565.3829,877252.709451284
4,46,091,OKALOOSA,2000/05/16 00:00:00+00,25621585036.2256,1087058.00438284
5,7,013,CALHOUN,2000/05/16 00:00:00+00,16048085397.4672,631344.00909672
6,50,099,PALM BEACH,2000/05/16 00:00:00+00,61491591969.0616,1522726.89747538
7,56,111,ST. LUCIE,2000/05/16 00:00:00+00,16149484820.9557,829518.692770346
8,51,101,PASCO,2000/05/16 00:00:00+00,21260807285.8637,739390.643597644
9,20,039,GADSDEN,2000/05/16 00:00:00+00,14744963472.2481,673612.426077503
10,37,073,LEON,2000/05/16 00:00:00+00,19584016138.2098,807989.691181563
11,33,065,JEFFERSON,2000/05/16 00:00:00+00,17033402669.7849,749466.142282919
12,40,079,MADISON,2000/05/16 00:00:00+00,19954266828.3091,719422.161444634
13,39,077,LIBERTY,2000/05/16 00:00:00+00,23545304208.6892,1014156.81652576
14,24,047,HAMILTON,2000/05/16 00:00:00+00,14477960107.7779,763034.416582444
15,3,005,BAY,2000/05/16 00:00:00+00,20842319162.9517,1834701.30277606
16,12,023,COLUMBIA,2000/05/16 00:00:00+00,22266487302.2026,905417.470831242
17,2,003,BAKER,2000/05/16 00:00:00+00,16362161453.2611,602717.294368568
18,30,059,HOLMES,2000/05/16 00:00:00+00,13514831669.2324,577279.375441074
19,43,085,MARTIN,2000/05/16 00:00:00+00,18163212069.3958,1014294.81270012
20,29,057,HILLSBOROUGH,2000/05/16 00:00:00+00,29564028944.0196,1177196.95995299
21,41,081,MANATEE,2000/05/16 00:00:00+00,20940887080.7074,1218253.44408563
22,10,019,CLAY,2000/05/16 00:00:00+00,17948500957.6093,603117.810216635
23,25,049,HARDEE,2000/05/16 00:00:00+00,17792803499.7252,543261.536630456
24,42,083,MARION,2000/05/16 00:00:00+00,46334209241.8729,1151393.60736949
25,64,127,VOLUSIA,2000/05/16 00:00:00+00,33645647575.2893,1837935.99794766
26,15,029,DIXIE,2000/05/16 00:00:00+00,19634949247.4401,771892.949471238
27,35,069,LAKE,2000/05/16 00:00:00+00,32245515394.3939,1085414.36113151
28,38,075,LEVY,2000/05/16 00:00:00+00,31222846964.6387,1113561.30402576
29,60,119,SUMTER,2000/05/16 00:00:00+00,16171035313.1481,751914.035739446
30,59,117,SEMINOLE,2000/05/16 00:00:00+00,9616121249.97192,520365.445917892
31,48,095,ORANGE,2000/05/16 00:00:00+00,28006104673.618,903213.715428867
32,9,017,CITRUS,2000/05/16 00:00:00+00,16847060705.6176,796979.404269785
33,27,053,HERNANDO,2000/05/16 00:00:00+00,13561044546.5447,658252.887531729
34,52,103,PINELLAS,2000/05/16 00:00:00+00,8169203571.8812,1167816.84045851
35,61,121,SUWANNEE,2000/05/16 00:00:00+00,19295996990.3474,731987.008657942
36,16,031,DUVAL,2000/05/16 00:00:00+00,22997044775.8865,1114099.40129032
37,34,067,LAFAYETTE,2000/05/16 00:00:00+00,15264572234.9149,634013.230316392
38,23,045,GULF,2000/05/16 00:00:00+00,15857514470.4584,850272.421627332
39,63,125,UNION,2000/05/16 00:00:00+00,6963394478.96307,420643.595360959
40,4,007,BRADFORD,2000/05/16 00:00:00+00,8359862626.37378,548326.687246681
41,65,129,WAKULLA,2000/05/16 00:00:00+00,17022505120.6189,916733.867149366
42,5,009,BREVARD,2000/05/16 00:00:00+00,28936951380.6763,2600567.11621827
43,53,105,POLK,2000/05/16 00:00:00+00,56039729499.5993,1273587.97322649
44,49,097,OSCEOLA,2000/05/16 00:00:00+00,41974373975.6891,1149911.15232981
45,28,055,HIGHLANDS,2000/05/16 00:00:00+00,30858531275.5408,973257.170083551
46,36,071,LEE,2000/05/16 00:00:00+00,22734524817.4646,1913267.0220598
47,11,021,COLLIER,2000/05/16 00:00:00+00,55941206045.6423,1903355.15661929
48,13,025,DADE,2000/05/16 00:00:00+00,55073375763.8941,1774363.00496543
49,44,087,MONROE,2000/05/16 00:00:00+00,28308543761.6011,4591181.83897766
50,57,113,SANTA ROSA,2000/05/16 00:00:00+00,28109274128.0588,1198564.1555946
51,66,131,WALTON,2000/05/16 00:00:00+00,29260992908.4669,1216747.48888053
52,32,063,JACKSON,2000/05/16 00:00:00+00,26457674355.9754,735287.597926583
53,67,133,WASHINGTON,2000/05/16 00:00:00+00,17212291868.187,801011.879871898
54,45,089,NASSAU,2000/05/16 00:00:00+00,17668341931.5773,1275144.97327404
55,22,043,GLADES,2000/05/16 00:00:00+00,27470534483.1281,776973.436241095
56,8,015,CHARLOTTE,2000/05/16 00:00:00+00,19647662652.4031,1306868.96108577
57,58,115,SARASOTA,2000/05/16 00:00:00+00,16244595346.2406,866480.222854252
58,14,027,DESOTO,2000/05/16 00:00:00+00,17811561535.2703,552611.74528102
59,18,035,FLAGLER,2000/05/16 00:00:00+00,13936478366.7697,723300.597094917
60,26,051,HENDRY,2000/05/16 00:00:00+00,33164247954.1707,952053.303145101
61,31,061,INDIAN RIVER,2000/05/16 00:00:00+00,14211052094.6021,768080.956031033
62,6,011,BROWARD,2000/05/16 00:00:00+00,33839548761.036,958026.061896544
63,17,033,ESCAMBIA,2000/05/16 00:00:00+00,19152061307.8204,1448408.40435881
64,47,093,OKEECHOBEE,2000/05/16 00:00:00+00,24844271086.3607,893974.023125111
65,19,037,FRANKLIN,2000/05/16 00:00:00+00,15589551427.4073,1467124.86409578
66,1,001,ALACHUA,2000/05/16 00:00:00+00,27023240533.1793,892726.558557937
67,55,109,ST. JOHNS,2000/05/16 00:00:00+00,17847916417.1672,1130719.73111295
