Geographic Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Florida,"18,845,537","19,053,237","19,297,822","19,545,621","19,845,911","20,209,042","20,613,477","20,963,613","21,244,317","21,477,737"
".Alachua County, Florida","247,614","249,834","251,520","252,475","255,456","259,052","263,959","266,309","268,851","269,043"
".Baker County, Florida","27,066","27,049","27,053","27,009","27,122","27,355","27,884","28,254","28,353","29,210"
".Bay County, Florida","169,206","169,555","171,757","174,596","178,289","181,488","183,634","184,736","186,240","174,705"
".Bradford County, Florida","28,536","28,431","27,051","26,802","26,552","26,748","26,740","27,142","27,752","28,201"
".Brevard County, Florida","543,965","544,359","546,966","550,255","555,548","565,746","576,874","587,769","595,203","601,942"
".Broward County, Florida","1,752,803","1,786,980","1,814,253","1,836,600","1,860,933","1,885,040","1,912,583","1,934,516","1,946,107","1,952,778"
".Calhoun County, Florida","14,647","14,717","14,665","14,578","14,450","14,406","14,330","14,428","14,543","14,105"
".Charlotte County, Florida","159,875","159,869","162,744","164,671","168,041","172,382","177,671","181,522","184,849","188,910"
".Citrus County, Florida","141,173","139,764","139,180","138,829","138,828","140,287","142,804","145,415","147,682","149,657"
".Clay County, Florida","191,451","192,314","193,861","195,657","198,570","202,392","207,246","212,228","215,908","219,252"
".Collier County, Florida","322,581","327,629","332,233","338,987","347,211","356,041","365,445","372,678","378,201","384,902"
".Columbia County, Florida","67,553","67,317","67,884","67,417","67,779","68,222","69,265","69,999","70,668","71,686"
".DeSoto County, Florida","34,934","34,845","35,005","34,905","35,338","35,648","36,255","37,241","37,368","38,001"
".Dixie County, Florida","16,400","16,406","16,153","16,084","16,041","16,353","16,465","16,615","16,685","16,826"
".Duval County, Florida","865,628","872,355","880,108","885,943","896,668","910,578","926,010","937,933","948,652","957,755"
".Escambia County, Florida","298,038","299,401","303,423","306,694","307,960","309,311","311,473","313,249","315,104","318,316"
".Flagler County, Florida","96,066","97,462","98,434","99,798","101,889","104,436","107,406","109,999","112,085","115,081"
".Franklin County, Florida","11,522","11,472","11,612","11,521","11,661","11,707","11,823","11,724","11,676","12,125"
".Gadsden County, Florida","47,794","47,373","46,574","46,087","46,114","46,060","46,086","45,993","45,927","45,660"
".Gilchrist County, Florida","17,000","16,994","16,897","16,957","16,991","17,378","17,622","17,900","18,284","18,582"
".Glades County, Florida","12,869","12,837","12,669","12,670","12,943","13,099","13,406","13,580","13,686","13,811"
".Gulf County, Florida","15,825","15,764","15,770","15,884","16,002","15,929","16,062","16,105","16,146","13,639"
".Hamilton County, Florida","14,683","14,595","14,721","14,342","14,071","14,272","14,303","14,364","14,262","14,428"
".Hardee County, Florida","27,730","27,684","27,439","27,311","27,266","27,177","27,219","27,154","27,168","26,937"
".Hendry County, Florida","39,009","38,972","37,870","37,809","38,474","39,248","40,037","41,018","41,336","42,022"
".Hernando County, Florida","172,969","172,847","172,718","173,639","175,298","177,900","182,459","186,704","190,582","193,920"
".Highlands County, Florida","98,635","98,477","98,222","98,077","98,584","100,137","102,041","103,852","104,933","106,221"
".Hillsborough County, Florida","1,233,498","1,255,503","1,279,639","1,304,131","1,332,298","1,364,073","1,396,693","1,426,736","1,451,919","1,471,968"
".Holmes County, Florida","19,843","19,838","19,697","19,594","19,564","19,273","19,398","19,427","19,443","19,617"
".Indian River County, Florida","138,270","139,103","140,473","141,895","144,445","147,434","151,159","154,241","157,187","159,923"
".Jackson County, Florida","49,648","49,197","49,109","48,880","48,730","48,609","48,299","48,289","48,112","46,414"
".Jefferson County, Florida","14,755","14,529","14,219","14,209","14,056","14,115","13,960","14,165","14,321","14,246"
".Lafayette County, Florida","8,808","8,798","8,791","8,819","8,862","8,724","8,747","8,602","8,691","8,422"
".Lake County, Florida","297,709","300,505","303,725","307,973","315,340","325,154","334,913","345,432","356,720","367,118"
".Lee County, Florida","620,449","631,053","644,197","659,834","677,232","699,644","722,649","740,000","754,470","770,577"
".Leon County, Florida","275,971","278,371","283,620","281,887","283,770","285,904","286,744","290,965","291,657","293,582"
".Levy County, Florida","40,720","40,151","39,823","39,433","39,296","39,601","39,837","40,276","40,798","41,503"
".Liberty County, Florida","8,349","8,264","8,301","8,357","8,418","8,409","8,300","8,236","8,427","8,354"
".Madison County, Florida","19,248","19,130","18,972","18,753","18,601","18,478","18,316","18,474","18,540","18,493"
".Manatee County, Florida","323,424","327,549","333,844","341,855","350,865","362,548","375,373","385,506","394,387","403,253"
".Marion County, Florida","331,331","332,286","333,873","335,083","338,005","342,182","347,469","353,339","359,062","365,579"
".Martin County, Florida","146,909","147,871","148,981","151,126","153,119","155,559","158,325","159,701","160,742","161,000"
".Miami-Dade County, Florida","2,506,972","2,544,531","2,576,554","2,609,692","2,634,269","2,659,839","2,692,213","2,713,295","2,714,854","2,716,940"
".Monroe County, Florida","73,220","73,967","74,560","75,813","76,261","76,648","76,872","76,483","74,757","74,228"
".Nassau County, Florida","73,513","74,148","74,519","75,384","76,250","77,951","80,055","82,925","85,936","88,625"
".Okaloosa County, Florida","180,715","183,102","189,762","192,688","194,615","197,748","200,071","203,478","206,934","210,738"
".Okeechobee County, Florida","40,025","39,869","39,710","39,482","39,569","39,854","40,769","41,275","41,654","42,168"
".Orange County, Florida","1,148,564","1,170,579","1,202,498","1,227,435","1,256,606","1,291,301","1,326,516","1,355,921","1,381,540","1,393,452"
".Osceola County, Florida","269,837","278,636","288,876","299,238","311,046","323,736","338,209","353,623","368,456","375,751"
".Palm Beach County, Florida","1,323,619","1,336,760","1,354,936","1,376,462","1,398,656","1,424,256","1,450,890","1,470,344","1,482,876","1,496,770"
".Pasco County, Florida","465,487","466,464","469,637","474,352","483,399","494,895","509,937","525,141","539,090","553,947"
".Pinellas County, Florida","916,412","918,455","921,642","928,414","936,400","947,060","959,874","968,341","973,058","974,996"
".Polk County, Florida","603,102","609,948","615,453","622,633","634,398","648,523","665,823","685,368","706,597","724,777"
".Putnam County, Florida","74,220","73,652","72,927","72,370","71,971","71,939","72,373","73,384","74,043","74,521"
".St. Johns County, Florida","191,249","196,106","202,066","209,439","217,836","226,362","234,828","243,693","253,814","264,672"
".St. Lucie County, Florida","278,264","280,416","282,931","285,299","290,045","297,282","305,566","313,163","320,425","328,297"
".Santa Rosa County, Florida","152,908","155,738","158,190","160,392","162,668","166,226","169,894","174,049","179,295","184,313"
".Sarasota County, Florida","379,930","382,226","386,437","389,941","396,363","404,761","412,968","419,680","426,329","433,742"
".Seminole County, Florida","423,051","426,334","430,537","435,503","441,399","448,318","455,945","462,801","468,122","471,826"
