X,Y,OBJECTID,BARBERSHOP,ADDRESS,PHONE,WARD,LATITUDE,LONGITUDE,MAR_WARD,XCOORD,YCOORD,ZIPCODE,MAR_ID
-77.0222301181272,38.916566424434,1,C Alan Salon,705 Florida Ave NW WDC 20001,(202) 265-1772,1,38.91655897,-77.02222783,Ward 1,398072.32,138743.68,20001,302436
-77.0230576943927,38.9262121086708,2,Eagle Barbershop,2800 Georgia Ave NW WDC 20001,(202) 534-7559,1,38.92620465,-77.0230554,Ward 1,398000.82,139814.45,20001,284501
-77.0217241767071,38.9159187303029,3,Greg's Barbershop,1909 7th St NW WDC 20001,(202) 745-9183,1,38.91591127,-77.02172189,Ward 1,398116.18,138671.77,20001,218561
-77.0223047096271,38.9139434531335,4,"Hollywood Styles & Cuts
",710 S St NW WDC 20001,(202) 462-7191,1,38.913936,-77.02230242,Ward 6,398065.78,138452.51,20001,300388
-77.0228968609696,38.9249126903607,5,Joseph's Babershop,2624 Georigia Ave NW WDC 20001,(202) 597-8458,1,38.92490523,-77.02289457,Ward 1,398014.73,139670.2,20001,232389
-77.0248958130249,38.917191425496,6,Showtime Hair Design,923 U St NW WDC 20001,(202) 332-2526,1,38.91718397,-77.02489352,Ward 1,397841.16,138813.12,20001,239465
-77.0232319784145,38.9309022525171,7,Spruill's Bluebird Barbershop,3219 Georgia Ave NW WDC 20010,(202) 722-9778,1,38.93089479,-77.02322969,Ward 1,397985.84,140335.1,20010,228953
-77.0216604659901,38.915338695441,8,Wanda's on 7th,1851 7th St NW WDC 20001,(202) 422-7946,1,38.91533124,-77.02165817,Ward 1,398121.69,138607.38,20001,218539
-77.022591382755,38.907110389398,9,Cuttin -Up,750 N St NW WDC 20001,(202) 425-3275,2,38.90710293,-77.02258909,Ward 2,398040.73,137693.99,20001,301915
-77.0272776565051,38.952475424426,10,A Sharper Image Barbershop,5115 Georgia Ave NW WDC 20011,(202) 257-5630,4,38.95246796,-77.02727536,Ward 4,397635.77,142730.01,20011,251738
